Time,PU
56136.19,14.23
56137.79,14.01
56139.39,13.83
56140.99,13.73
56142.59,13.75
56144.19,13.86
56145.79,14.04
56147.39,14.24
56148.99,14.41
56150.58,14.51
56152.18,14.51
56153.79,14.41
56155.39,14.26
56156.99,14.08
56158.58,13.96
56160.18,13.95
56161.79,14.11
56163.39,14.45
56164.99,14.98
56166.58,15.68
56168.18,16.50
56169.78,17.38
56171.38,18.27
56172.98,19.10
56174.58,19.86
56176.18,20.52
56177.78,21.09
56179.38,21.60
56180.98,22.07
56182.58,22.55
56184.18,23.08
56185.78,23.66
56187.38,24.33
56188.98,25.08
56190.58,25.90
56192.18,26.74
56193.78,27.58
56195.38,28.34
56196.98,28.98
56198.58,29.44
56200.18,29.68
56201.78,29.68
56203.38,29.46
56204.98,29.06
56206.58,28.55
56208.18,28.02
56209.78,27.59
56211.38,27.34
56212.98,27.34
56214.58,27.62
56216.18,28.15
56217.78,28.85
56219.38,29.61
56220.98,30.29
56222.58,30.76
56224.18,30.94
56225.78,30.78
56227.38,30.31
56228.98,29.62
56230.58,28.86
56232.18,28.16
56233.78,27.66
56235.38,27.44
56236.98,27.51
56238.58,27.82
56240.18,28.22
56241.78,28.57
56243.38,28.70
56244.98,28.50
56246.58,27.90
56248.18,26.93
56249.78,25.69
56251.38,24.32
56252.98,23.01
56254.58,21.89
56256.18,21.08
56257.78,20.63
56259.38,20.51
56260.98,20.61
56262.58,20.83
56264.18,21.02
56265.78,21.08
56267.38,20.95
56268.98,20.62
56270.58,20.13
56272.18,19.57
56273.78,19.04
56275.38,18.63
56276.98,18.41
56278.58,18.41
56280.18,18.59
56281.78,18.92
56283.38,19.32
56284.98,19.70
56286.58,20.00
56288.18,20.16
56289.78,20.18
56291.38,20.06
56292.98,19.85
56294.58,19.57
56296.18,19.29
56297.78,19.03
56299.38,18.82
56300.98,18.65
56302.58,18.52
56304.18,18.40
56305.78,18.28
56307.38,18.12
56308.98,17.94
56310.58,17.73
56312.18,17.52
56313.78,17.34
56315.38,17.22
56316.98,17.18
56318.58,17.24
56320.18,17.39
56321.78,17.61
56323.38,17.86
56324.98,18.11
56326.58,18.31
56328.18,18.42
56329.78,18.43
56331.38,18.33
56332.98,18.16
56334.58,17.94
56336.18,17.72
56337.78,17.56
56339.38,17.48
56340.98,17.50
56342.58,17.61
56344.18,17.79
56345.78,17.98
56347.38,18.14
56348.98,18.23
56350.58,18.20
56352.18,18.05
56353.78,17.81
56355.38,17.50
56356.98,17.18
56358.58,16.91
56360.18,16.71
56361.78,16.60
56363.38,16.59
56364.97,16.63
56366.57,16.68
56368.18,16.69
56369.78,16.60
56371.38,16.39
56372.97,16.07
56374.57,15.67
56376.18,15.25
56377.78,14.88
56379.38,14.64
56380.97,14.57
56382.57,14.71
56384.17,15.04
56385.77,15.54
56387.37,16.13
56388.97,16.73
56390.57,17.25
56392.17,17.62
56393.77,17.78
56395.37,17.73
56396.97,17.49
56398.57,17.10
56400.17,16.64
56401.77,16.20
56403.37,15.84
56404.97,15.63
56406.57,15.61
56408.17,15.77
56409.77,16.08
56411.37,16.50
56412.97,16.95
56414.57,17.37
56416.17,17.69
56417.77,17.88
56419.37,17.91
56420.97,17.80
56422.57,17.56
56424.17,17.24
56425.77,16.88
56427.37,16.52
56428.97,16.19
56430.57,15.92
56432.17,15.71
56433.77,15.58
56435.37,15.54
56436.97,15.57
56438.57,15.70
56440.17,15.91
56441.77,16.20
56443.37,16.56
56444.97,16.95
56446.57,17.34
56448.17,17.68
56449.77,17.93
56451.37,18.03
56452.97,17.98
56454.57,17.77
56456.17,17.43
56457.77,17.01
56459.37,16.58
56460.97,16.20
56462.57,15.94
56464.17,15.84
56465.77,15.90
56467.37,16.12
56468.97,16.45
56470.57,16.82
56472.17,17.16
56473.77,17.43
56475.37,17.56
56476.97,17.56
56478.57,17.42
56480.17,17.19
56481.77,16.91
56483.37,16.63
56484.97,16.40
56486.57,16.25
56488.17,16.18
56489.77,16.18
56491.37,16.23
56492.97,16.29
56494.57,16.33
56496.17,16.32
56497.77,16.25
56499.37,16.13
56500.97,15.98
56502.57,15.82
56504.17,15.69
56505.77,15.61
56507.37,15.59
56508.97,15.63
56510.57,15.74
56512.17,15.89
56513.77,16.07
56515.37,16.27
56516.97,16.50
56518.57,16.75
56520.17,17.02
56521.77,17.31
56523.37,17.62
56524.97,17.93
56526.57,18.20
56528.17,18.39
56529.77,18.47
56531.37,18.41
56532.97,18.21
56534.57,17.88
56536.17,17.45
56537.77,16.99
56539.37,16.55
56540.97,16.18
56542.57,15.94
56544.17,15.83
56545.77,15.84
56547.37,15.94
56548.97,16.07
56550.57,16.17
56552.17,16.20
56553.77,16.13
56555.37,15.96
56556.97,15.71
56558.57,15.44
56560.17,15.18
56561.77,15.00
56563.37,14.93
56564.97,14.98
56566.57,15.15
56568.17,15.41
56569.77,15.71
56571.36,16.01
56572.96,16.26
56574.57,16.45
56576.17,16.57
56577.76,16.61
56579.36,16.61
56580.96,16.59
56582.57,16.56
56584.17,16.55
56585.76,16.56
56587.36,16.59
56588.96,16.61
56590.57,16.62
56592.16,16.60
56593.76,16.54
56595.36,16.44
56596.96,16.30
56598.56,16.16
56600.16,16.02
56601.76,15.90
56603.36,15.82
56604.96,15.78
56606.56,15.80
56608.16,15.85
56609.76,15.94
56611.36,16.04
56612.96,16.15
56614.56,16.25
56616.16,16.34
56617.76,16.42
56619.36,16.50
56620.96,16.57
56622.56,16.64
56624.16,16.73
56625.76,16.83
56627.36,16.93
56628.96,17.02
56630.56,17.08
56632.16,17.10
56633.76,17.07
56635.36,16.99
56636.96,16.85
56638.56,16.67
56640.16,16.47
56641.76,16.29
56643.36,16.13
56644.96,16.01
56646.56,15.94
56648.16,15.91
56649.76,15.90
56651.36,15.91
56652.96,15.92
56654.56,15.93
56656.16,15.94
56657.76,15.96
56659.36,16.03
56660.96,16.17
56662.56,16.37
56664.16,16.63
56665.76,16.92
56667.36,17.20
56668.96,17.41
56670.56,17.49
56672.16,17.42
56673.76,17.17
56675.36,16.79
56676.96,16.33
56678.56,15.87
56680.16,15.53
56681.76,15.39
56683.36,15.52
56684.96,15.92
56686.56,16.59
56688.16,17.44
56689.76,18.39
56691.36,19.31
56692.96,20.10
56694.56,20.68
56696.16,21.01
56697.76,21.10
56699.36,20.99
56700.96,20.75
56702.56,20.47
56704.16,20.23
56705.76,20.08
56707.36,20.04
56708.96,20.12
56710.56,20.27
56712.16,20.43
56713.76,20.53
56715.36,20.50
56716.96,20.30
56718.56,19.93
56720.16,19.39
56721.76,18.73
56723.36,18.01
56724.96,17.32
56726.56,16.71
56728.16,16.26
56729.76,15.99
56731.36,15.92
56732.96,16.02
56734.56,16.28
56736.16,16.62
56737.76,17.00
56739.36,17.36
56740.96,17.66
56742.56,17.85
56744.16,17.92
56745.76,17.87
56747.36,17.71
56748.96,17.46
56750.56,17.17
56752.16,16.87
56753.76,16.60
56755.36,16.39
56756.96,16.28
56758.56,16.26
56760.16,16.34
56761.76,16.48
56763.36,16.66
56764.96,16.83
56766.56,16.94
56768.16,16.96
56769.76,16.88
56771.36,16.68
56772.96,16.41
56774.56,16.12
56776.16,15.85
56777.76,15.67
56779.36,15.63
56780.96,15.75
56782.56,16.02
56784.15,16.40
56785.75,16.83
56787.36,17.22
56788.96,17.49
56790.56,17.58
56792.15,17.46
56793.75,17.14
56795.36,16.68
56796.96,16.16
56798.56,15.69
56800.15,15.36
56801.75,15.26
56803.36,15.41
56804.95,15.80
56806.55,16.36
56808.15,17.00
56809.75,17.59
56811.35,18.03
56812.95,18.25
56814.55,18.20
56816.15,17.92
56817.75,17.46
56819.35,16.94
56820.95,16.46
56822.55,16.11
56824.15,15.97
56825.75,16.05
56827.35,16.33
56828.95,16.73
56830.55,17.19
56832.15,17.62
56833.75,17.93
56835.35,18.10
56836.95,18.10
56838.55,17.98
56840.15,17.78
56841.75,17.56
56843.35,17.38
56844.95,17.27
56846.55,17.25
56848.15,17.31
56849.75,17.43
56851.35,17.55
56852.95,17.64
56854.55,17.67
56856.15,17.61
56857.75,17.47
56859.35,17.26
56860.95,17.02
56862.55,16.77
56864.15,16.55
56865.75,16.39
56867.35,16.31
56868.95,16.31
56870.55,16.39
56872.15,16.54
56873.75,16.72
56875.35,16.92
56876.95,17.11
56878.55,17.27
56880.15,17.38
56881.75,17.42
56883.35,17.39
56884.95,17.29
56886.55,17.12
56888.15,16.90
56889.75,16.65
56891.35,16.39
56892.95,16.16
56894.55,15.99
56896.15,15.90
56897.75,15.91
56899.35,16.02
56900.95,16.22
56902.55,16.47
56904.15,16.74
56905.75,16.95
56907.35,17.08
56908.95,17.08
56910.55,16.93
56912.15,16.66
56913.75,16.30
56915.35,15.92
56916.95,15.57
56918.55,15.34
56920.15,15.27
56921.75,15.40
56923.35,15.71
56924.95,16.16
56926.55,16.69
56928.15,17.23
56929.75,17.69
56931.35,18.02
56932.95,18.16
56934.55,18.13
56936.15,17.94
56937.75,17.63
56939.35,17.27
56940.95,16.90
56942.55,16.58
56944.15,16.31
56945.75,16.11
56947.35,15.96
56948.95,15.84
56950.55,15.73
56952.15,15.60
56953.75,15.45
