Wavelength (nm),C16 abs e
210.00,15976
211.00,16044
212.00,16049
213.00,15694
214.00,15179
215.00,14323
216.00,13519
217.00,13086
218.00,13000
219.00,13161
220.00,13569
221.00,14176
222.00,14954
223.00,15867
224.00,16914
225.00,17949
226.00,18945
227.00,19790
228.00,20510
229.00,21064
230.00,21548
231.00,22019
232.00,22433
233.00,22833
234.00,23077
235.00,23104
236.00,22897
237.00,22429
238.00,21736
239.00,20890
240.00,19928
241.00,18968
242.00,18117
243.00,17539
244.00,17259
245.00,17195
246.00,17207
247.00,17152
248.00,17003
249.00,16858
250.00,16870
251.00,17072
252.00,17467
253.00,17948
254.00,18287
255.00,18278
256.00,17741
257.00,16644
258.00,15067
259.00,13273
260.00,11481
261.00,9875.6
262.00,8542.0
263.00,7499.8
264.00,6743.0
265.00,6215.2
266.00,5880.1
267.00,5676.2
268.00,5573.1
269.00,5540.1
270.00,5564.9
271.00,5644.2
272.00,5780.6
273.00,5981.4
274.00,6229.8
275.00,6505.9
276.00,6805.7
277.00,7112.8
278.00,7391.9
279.00,7645.9
280.00,7896.0
281.00,8148.1
282.00,8427.4
283.00,8751.2
284.00,9122.3
285.00,9558.3
286.00,10038
287.00,10573
288.00,11101
289.00,11624
290.00,12126
291.00,12603
292.00,13046
293.00,13462
294.00,13849
295.00,14201
296.00,14492
297.00,14653
298.00,14678
299.00,14501
300.00,14163
301.00,13683
302.00,13120
303.00,12498
304.00,11886
305.00,11275
306.00,10677
307.00,10091
308.00,9537.0
309.00,9017.1
310.00,8523.9
311.00,8057.7
312.00,7649.3
313.00,7267.3
314.00,6922.8
315.00,6594.3
316.00,6301.9
317.00,6012.0
318.00,5726.9
319.00,5458.3
320.00,5190.7
321.00,4924.5
322.00,4669.7
323.00,4424.8
324.00,4186.4
325.00,3965.3
326.00,3751.1
327.00,3556.5
328.00,3364.9
329.00,3197.4
330.00,3028.1
331.00,2870.6
332.00,2726.6
333.00,2586.7
334.00,2442.8
335.00,2309.7
336.00,2179.5
337.00,2052.9
338.00,1938.5
339.00,1830.9
340.00,1736.9
341.00,1658.5
342.00,1595.4
343.00,1548.2
344.00,1516.8
345.00,1507.3
346.00,1501.7
347.00,1514.9
348.00,1531.4
349.00,1558.6
350.00,1576.0
351.00,1604.6
352.00,1634.3
353.00,1672.1
354.00,1702.5
355.00,1746.6
356.00,1804.9
357.00,1858.8
358.00,1927.8
359.00,2006.5
360.00,2091.8
361.00,2190.1
362.00,2312.9
363.00,2436.2
364.00,2583.8
365.00,2724.3
366.00,2865.3
367.00,2994.2
368.00,3111.3
369.00,3213.3
370.00,3301.3
371.00,3358.3
372.00,3412.1
373.00,3444.4
374.00,3497.9
375.00,3552.8
376.00,3596.5
377.00,3665.8
378.00,3749.6
379.00,3849.3
380.00,3964.4
381.00,4092.0
382.00,4246.1
383.00,4412.1
384.00,4576.8
385.00,4740.5
386.00,4903.1
387.00,5071.9
388.00,5215.3
389.00,5309.3
390.00,5410.3
391.00,5457.1
392.00,5498.0
393.00,5499.6
394.00,5473.0
395.00,5451.0
396.00,5422.9
397.00,5400.3
398.00,5388.4
399.00,5386.6
400.00,5396.9
401.00,5437.6
402.00,5515.9
403.00,5613.0
404.00,5746.8
405.00,5888.1
406.00,6043.2
407.00,6242.8
408.00,6465.5
409.00,6700.7
410.00,6960.3
411.00,7245.2
412.00,7547.5
413.00,7843.9
414.00,8134.7
415.00,8489.0
416.00,8844.6
417.00,9224.4
418.00,9608.1
419.00,9999.5
420.00,10422
421.00,10858
422.00,11248
423.00,11671
424.00,12082
425.00,12535
426.00,12949
427.00,13450
428.00,13859
429.00,14326
430.00,14776
431.00,15141
432.00,15533
433.00,15992
434.00,16413
435.00,16726
436.00,17139
437.00,17567
438.00,17916
439.00,18237
440.00,18614
441.00,18991
442.00,19284
443.00,19583
444.00,19823
445.00,20078
446.00,20401
447.00,20627
448.00,20876
449.00,21038
450.00,21194
451.00,21328
452.00,21507
453.00,21555
454.00,21600
455.00,21600
456.00,21528
457.00,21462
458.00,21309
459.00,21136
460.00,20883
461.00,20583
462.00,20188
463.00,19783
464.00,19339
465.00,18824
466.00,18288
467.00,17677
468.00,16980
469.00,16333
470.00,15622
471.00,14871
472.00,14124
473.00,13344
474.00,12613
475.00,11854
476.00,11144
477.00,10375
478.00,9645.5
479.00,8921.1
480.00,8247.8
481.00,7608.7
482.00,6963.6
483.00,6348.5
484.00,5793.4
485.00,5109.8
486.00,4750.4
487.00,4383.3
488.00,3930.9
489.00,3471.8
490.00,3110.6
491.00,2783.2
492.00,2462.2
493.00,2179.7
494.00,1945.5
495.00,1712.4
496.00,1491.8
497.00,1317.0
498.00,1144.8
499.00,997.41
500.00,872.44
501.00,769.83
502.00,667.15
503.00,571.46
504.00,498.46
505.00,442.58
506.00,367.69
507.00,320.35
508.00,284.15
509.00,242.95
510.00,211.39
511.00,181.27
512.00,165.07
513.00,129.38
514.00,113.53
515.00,98.138
516.00,96.154
517.00,97.875
518.00,88.948
519.00,76.519
520.00,71.978
521.00,72.528
522.00,68.154
523.00,60.553
524.00,53.013
525.00,62.979
526.00,52.307
527.00,52.164
528.00,48.878
529.00,46.882
530.00,34.143
531.00,34.406
532.00,31.203
533.00,41.791
534.00,32.398
535.00,40.285
536.00,60.494
537.00,42.090
538.00,46.249
539.00,44.492
540.00,39.222
541.00,35.158
542.00,33.354
543.00,55.988
544.00,34.991
545.00,38.218
546.00,25.108
547.00,39.293
548.00,38.301
549.00,40.046
550.00,40.919
551.00,42.962
552.00,32.314
553.00,47.671
554.00,30.175
555.00,39.437
556.00,39.807
557.00,43.643
558.00,47.025
559.00,37.023
560.00,46.798
561.00,45.950
562.00,44.934
563.00,42.783
564.00,31.334
565.00,36.043
566.00,33.342
567.00,34.824
568.00,37.608
569.00,34.800
570.00,40.895
571.00,43.691
572.00,38.779
573.00,39.580
574.00,39.891
575.00,39.783
576.00,34.824
577.00,35.804
578.00,39.186
579.00,36.521
580.00,38.863
581.00,38.839
582.00,39.365
583.00,38.493
584.00,34.406
585.00,35.111
586.00,35.493
587.00,40.022
588.00,37.142
589.00,44.826
590.00,38.947
591.00,38.182
592.00,39.126
593.00,40.943
594.00,40.261
595.00,39.425
596.00,39.520
597.00,37.489
598.00,39.628
599.00,38.015
600.00,36.616
